CODE,ZONE,STATE,TOWN,PROVIDER,ADDRESS,CAT,PLAN,SPECIALTY
40028006,SOUTH WEST,LAGOS,IKEJA,OXYBELLE EYE CLINIC,37 ADENIYI JONES AVENUE,D,ALL PLANS ,OPTICAL
6000069,SOUTH WEST,LAGOS,VGC,PAELON MEMORIAL CLINIC,SHOP G13 VGC SHOPPING COMPLEX,A+,MAGNUM,GENERAL MEDICINE
6000069,SOUTH WEST,LAGOS,VICTORIA ISLAND,PAELON MEMORIAL HOSPITAL,1221 AHMADU BELLO WAY BESIDE ABIA LIASON GOVERNORS LODGE,A+,MAGNUM,GENERAL MEDICINE
7000810,SOUTH WEST,LAGOS,IKORODU,PALMVILLE HOSPITAL,"10, MULIKAT ONISIWO STREET, IGBO-OLUWO ESTATE",D,ALL PLANS ,GENERAL MEDICINE
90128185,SOUTH WEST,LAGOS,AMUWO ODOFIN,PANOX HOSPITAL,"4, RAJI RASAKI ESTATE ROAD, AMUWO ODOFIN",D,ALL PLANS ,GENERAL MEDICINE
6800079,SOUTH WEST,LAGOS,SURULERE,PARKLANDE SPECIALIST HOSPITAL,"13, RASAK BALOGUN STREET, OFF ADENIRAN OGUNSANYA STREET, SURULERE LAGOS",D,ALL PLANS ,GENERAL MEDICINE
90128166,SOUTH WEST,LAGOS,APAPA,PATOL MEDICAL CENTRE,48 MOLADE (SWAMP) STREET OLODI APAPA ATEDOMI IFELODUN,D,ALL PLANS ,GENERAL MEDICINE
90128633,SOUTH WEST,LAGOS,ALIMOSHO,PAULATE HOSPITAL,"33, PEAK THOMAS BRIGHT CRESCENT , AIT, ALAGBADO",D,ALL PLANS ,GENERAL MEDICINE
91228040,SOUTH WEST,LAGOS,OSHODI,PAVIK EYE CLINC,"ROYAL PLAZA,112, MUSHIN ROAD",D,ALL PLANS ,OPTICAL
7000775,SOUTH WEST,LAGOS,IKOTUN,PEACEFUL HEALTH HOSPITAL AND MATERNITY,"60 IJAGEMO ROAD, OFF SHAKI BUS STOP, IJEGU",D,ALL PLANS ,GENERAL MEDICINE
90128850,SOUTH WEST,LAGOS,SURULERE,PEACEVILLE SPECIALIST HOSPITAL LIMITED,"PLOT 276B BABS ANIMASHAUN ROAD SURULERE LAGOS				
",D,ALL PLANS ,GENERAL MEDICINE
7000615,SOUTH WEST,LAGOS,OGUDU,PEACHCARE MEDICAL CENTER,"43A OGUDU ROAD, OGUDU GRA.",B,MAX & HIGHER,GENERAL MEDICINE
4000246,SOUTH WEST,LAGOS,IKEJA,PEAK EYE CARE,"8B IKOSI ROAD,OFF KUDIRAT ABIOLA WAY,OREGUN,IKEJA",D,ALL PLANS ,OPTICAL
4000247,SOUTH WEST,LAGOS,IKORODU,PEAK EYE CARE IKORODU,"260 LAGOS ROAD, PHARMACY BUS STOP, IDIROKO",D,ALL PLANS ,OPTICAL
4000248,SOUTH WEST,LAGOS,KETU,PEAK EYE CARE KETU,"IKOSI ROAD, IKOSI KETU, IKEJA",D,ALL PLANS ,OPTICAL
4000202,SOUTH WEST,LAGOS,IKEJA,PEAK EYE CARE LIMITED - GRA IKEJA,"37, JOEL OGUNNAIKE STREET, G.R.A., IKEJA, LGOS.",C,PRO & HIGHER,OPTICAL
4000246,SOUTH WEST,LAGOS,IKEJA,PEAK EYE CARE OREGUN,"8B ZIATEK ROAD, OREGUN, IKEJA,",D,ALL PLANS ,OPTICAL
90128420,SOUTH WEST,LAGOS,IPAJA,PEAK HEALTH HOSPITAL,"OKE ODO 102213, LAGOS",D,ALL PLANS ,GENERAL MEDICINE
34028001,SOUTH WEST,LAGOS,LEKKI,PEARL ONCOLOGY,"PLOT 24A FURO EZIMORA, OFF PROVIDENCE ST, LEKKI",A+,MAGNUM,ONCOLOGY
9040001,SOUTH WEST,LAGOS,VICTORIA ISLAND,PEDIATRIC PARTNERS HOSPITAL,314A AKIN OGUNLEWE ROAD OFF LIGALI AYORINDE,B,MAX & HIGHER,PAEDIATRICS
85028004,SOUTH WEST,LAGOS,FESTAC TOWN,PENINSULA MEDICAL DIAGNOSTICS LTD  ,"PLOT 1093/94, 4TH AVENUE, FESTAC TOWN",D,ALL PLANS ,DIAGNOSTICS
7000833,SOUTH WEST,LAGOS,LEKKI,PEREZ MEDCARE ,"AA RESCUE BUILDING ,13A  CASTLE ROCK AVENUE, FRIENDS COLONY ROAD",A+,MAGNUM,GENERAL MEDICINE
4000237,SOUTH WEST,LAGOS,VICTORIA ISLAND,PERFECT EYES,33 KOFO ABAYOMI STREET,C,PRO & HIGHER,OPTICAL
90128619,SOUTH WEST,LAGOS,OSHODI-ISOLO,PERFECT TRINITY,"13 TAIWO STREET, ILASAMAJA",D,ALL PLANS ,GENERAL MEDICINE
90128929,SOUTH WEST,LAGOS,IKOTUN,PERISCOPE HOSPITAL,"14 OKE STREET, OFF LASU IGANDO ROAD, ISHERI",D,ALL PLANS ,GENERAL MEDICINE
4500154,SOUTH WEST,LAGOS,YABA,PERLE DENTAL CLINIC,"433 HERBERT MACAULAY WAY, YABA, LAGOS",C,PRO & HIGHER,DENTAL
91228075,SOUTH WEST,LAGOS,LEKKI,PEROFAK EYE CLINIC,"27, FOLA OSIBO ROAD, ABOVE MEDPLUS LEKKI PHASE 1",D,ALL PLANS ,OPTICAL
91228075,SOUTH WEST,LAGOS,AMUWO ODOFIN,PEROFAK EYE CLINIC,PLOT 319 RABIU BABATUNDE TINUBU ROAD BESIDE GREENLIFE HOSPITAL AMUWO-ODOFIN,D,ALL PLANS ,OPTICAL
6500092,SOUTH WEST,LAGOS,AGEGE - OKO OBA,PETER AND GRACE MEDICAL CENTRE,"29, SANNI LABODE STREET, NEW OKO OBA, ABULE EGBA ",C,PRO & HIGHER,GENERAL MEDICINE
7000616,SOUTH WEST,LAGOS,OKOTA,PETERHOFF SPECIALIST HOSPITAL,"4, GANIYU OSEBABY STR, AGO PALACE WAY",D,ALL PLANS ,GENERAL MEDICINE
7000365,SOUTH WEST,LAGOS,OSHODI,PETROS FOUNDATION HOSPITAL,"20, SEINDE CALLISTO STR., OFF MILE 2-OSHODI EXP/WAY, OSHODI",D,ALL PLANS ,GENERAL MEDICINE
4500050,SOUTH WEST,LAGOS,AGEGE,PEVE DENTAL,"51 IJU ROAD, PEN CINEMA ZONE, AGEGE, LAGOS",D,ALL PLANS ,DENTAL
12028001,SOUTH WEST,LAGOS,VICTORIA ISLAND,PHOENIX DERMA AESTHETICS AND LASER CLINIC,"12B AGORO ODIYAN STREET, OFF ADEOLA ODEKU, VICTORIA ISLAND, LAGOS",B,MAX & HIGHER,DERMATOLOGY
4000161,SOUTH WEST,LAGOS,LEKKI,PHOENIX EYE CLINIC,"KM 17, LEKKI- EPE EXPRESSWAY",B,MAX & HIGHER,OPTICAL
4000161,SOUTH WEST,LAGOS,LEKKI,PHOENIX EYE CLINIC LIMITED IGBO EFON,"SCAPULAR PLAZA KM 17 LEKKI-EPE EXPRESSWAY IGBO EFON BUS STOP, ETI-OSA, LEKKI",B,MAX & HIGHER,OPTICAL
40028002,SOUTH WEST,LAGOS,SURULERE,PHOENIX EYE CLINIC LIMITED SURULERE,"104 OGUNLANA DR, SURULERE, LAGOS",B,MAX & HIGHER,OPTICAL
10028018,SOUTH WEST,LAGOS,GBAGADA,PHYSIO AID NIGERIA LIMITED,"27 MABINUORI DAWODU STR, CHARLY BOY BUS STOP",D,ALL PLANS ,PHYSIOTHERAPY
10028018,SOUTH WEST,LAGOS,ISHERI,PHYSIO AID NIGERIA LIMITED,"PLOT 1, BLOCK 2, OBA OF BENIN ROAD, LONEX GARDENS, OPIC BUS/STOP, ISHERI NORTH",D,ALL PLANS ,PHYSIOTHERAPY
10028006,SOUTH WEST,LAGOS,GBAGADA,PHYSIO CENTRE OF AFRICA GBAGADA,"PHASE 2, 23B OLUMOROTI JAIYESIMI STREET, GBAGADA ESTATE, SOMOLU 100231, LAGOS",B,MAX & HIGHER,PHYSIOTHERAPY
10028006,SOUTH WEST,LAGOS,VICTORIA ISLAND,PHYSIO CENTRES OF AFRICA,"PLOT 1677 OLAKUNLE BAKARE CLOSE, OFF SANUSI FAFUNWA STREET, VI",B,MAX & HIGHER,PHYSIOTHERAPY
7000733,SOUTH WEST,LAGOS,OSHODI,PINECREST HOSPITAL,83 MAKINDE STREET MAFOLUKWU OSHODI,D,ALL PLANS ,GENERAL MEDICINE
10028024,SOUTH WEST,LAGOS,VICTORIA ISLAND,PHYSIO-PLUS ASSOCIATES,"16C ABISOGUN ROAD, ONIRU ESTATE, VICTORIA ISLAND",A+,MAGNUM,PHYSIOTHERAPY
90728001,SOUTH WEST,LAGOS,LEKKI,PINNACLE MEDICAL SERVICES,"27B OLABANJI OLAJIDE STREET, MARUWA -LEKKI",B,MAX & HIGHER,PSYCHIATRY
40028122,SOUTH WEST,LAGOS,LEKKI,POISE EYECARE,"3B EMMA ABIMBOLA COLE, JESSY HAIR WORLD PLACE, LEKKI PHASE 1",D,ALL PLANS ,OPTICAL
30028010,SOUTH WEST,LAGOS,IDIMU,PONS MEDICAL DIAGNOSTICS,"LAB BUS STOP, ISHERI ROUND ABOUT, IDIMU",D,ALL PLANS ,DIAGNOSTICS
4000204,SOUTH WEST,LAGOS,AMUWO ODOFIN,PORTERS HOUSE EYE CLINIC,"PLOT 369 DURBAR ROAD, BY NEW ROAD JUNCTION, BESIDE VINTAGE PLUS SCHOOL, AMUWO-ODOFIN, LAGOS",C,PRO & HIGHER,OPTICAL
4000204,SOUTH WEST,LAGOS,ISOLO,PORTERS HOUSE EYE CLINIC,"1, ADEKUNLE ARABA STREET, BY CHEMIST BUS STOP, OKOTA, LAGOS.",C,PRO & HIGHER,OPTICAL
4000204,SOUTH WEST,LAGOS,LEKKI,PORTERS HOUSE EYE CLINIC,BRASSARS PLACE 69 ADMIRALTY WAY BESIDE EBEANO SUPERMARKET LEKKI PHASE 1,C,PRO & HIGHER,OPTICAL
36028128,SOUTH WEST,LAGOS,IKEJA,PREMIER CARE DIAGNOSTICS ,"51/53 KUDIRAT ABIOLA WAY, IKEJA LAGOS",D,ALL PLANS ,DIAGNOSTICS
4000276,SOUTH WEST,LAGOS,VICTORIA ISLAND,PREMIERE EYE CENTRE                                         ,"290 AJOSE ADEOGUN ST, VICTORIA ISLAND, LAGOS",C,PRO & HIGHER,OPTICAL
91228101,SOUTH WEST,LAGOS,LEKKI-CHEVRON,PREMIUM VISION EYE CLINIC,"12, OPAL PLAZA, DREAM AFRICANA WAY, ORCHID ROAD,LEKKI",D,ALL PLANS ,OPTICAL
7000037,SOUTH WEST,LAGOS,LEKKI,PRESTON HOSPITAL,"20 OLAITAN SEBANJO STREET BEHIND KFFC OFF ADMIRALTY WAY,",D,ALL PLANS ,GENERAL MEDICINE
90128815,SOUTH WEST,LAGOS,LEKKI-CHEVRON,PRIME CARE HOSPITAL,"PLOT 30C, CHEVRON ALTERNATIVE ROAD, OFF CHEVRON DRIVE, LEKKI LAGOS",B,PROMAX & HIGHER,GENERAL MEDICINE
45028137,SOUTH WEST,LAGOS, IPAJA,PRIME DENTAL SERVICES LTD,"104, NEW IPAJA EGBEDA ROAD, ALIMOSHO, IPAJA",D,ALL PLANS ,DENTAL
90128264,SOUTH WEST,LAGOS,LEKKI,PRIMEFORT HOSPITAL NIGERIA LIMITED,"35C AJIRAN ROAD, OPPOSITE OBA AMUSA ESTATE, AGUNGI",B,MAX & HIGHER,GENERAL MEDICINE
