LIST OF PRIMARY HEALTH CARE CENTERS (PHCCs) IN LAGOS STATE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,66,,,ALAFIA,SARI PHC,"2, ADEKUNLEDEEN ST.SARI IGANMU", 
,67,,,SARI,ZION PHC               ,"10, ZION ST, SARI.", 
,68,,,MARINE BEACH,MARINE BEACH HEALTH POST,14B ESUGBAYI ST MARINE BEACH., 
6,69, BADAGRY CENTRAL LGA, BADAGRY CENTRAL LGA,AJARA VETHO,AJARA PHC ,"AJARA MANGRO, AJARA BADAGRY.",COMPREHENSIVE
,70,,,AWHAJINGBON,GBEREFU PHC,GBEREFU VILLAGE, 
,71,,,AWHAJINGBON,MARINA PHC,"MARKET RD, AWHAJIGON QRTS MARINA BADAGRY.", 
,72,,,AJIDO,WILBROS PHC,"KOGBOME QUARTERS, POBITAH-TOPO ROAD,AJIDO, BADAGRY", 
,73,,,AJIDO,AJIDO PHC,EBUTE OLOFIN BADAGRY, 
,74,,,IKOGA,POTA PHC,POTA IKOGA BADAGRY, 
,75,,,IKOGA,IRAGBO/IRAGAN PHC,IRAGBO/IRAGAN VILLAGE, 
,76,,,TOPO IDALE,TOPO/IDALE PHC,TOPO ASCON ROAD BADAGRY, 
,77,,,AJARA TOPA, TOPA HP,AJARA TOPA BADAGRY., 
,78,, BADAGRY WEST LCDA,GBETROME,SEME PHC ,SEME BORDER., 
,79,,,AKORO,SAKPO PHC,AKORO SEME EXPRESS WAY., 
,80,,,APA,APA PHC,APA COMMUNITY.,COMPREHENSIVE
,81,,,WESERE,IGBOGBELE PHC,IGBOGBELE OWODE APA ROAD., 
,82,,,KWEME,FARASIME PHC,FARASIME COMMUNITY., 
,83,,   OLORUNDA LCDA,IWORO GBANKO,ILADO PHC,ILADO TOWN.,COMPREHENSIVE
,84,,,IBEREKO,IBEREKO PHC,AYELAJU IBEREKO., 
,85,,,ARAROMI ALE,MOROGBO PHC,OLADOKUN STR MOROGBO, 
,86,,,ILOGBO,ILOGBO PHC,OPPOSITE MARKET ILOGBO., 
,87,,,ILOGBO,ISAMOLE PHC,ISAMOLE VILLAGE., 
,88,,,ADARAGUN MOWO,MOWO PHC ,MOWO BUSTOP ALONG MUWO ROAD, 
7,89,EPE LGA,EPE LGA,BADO,EPE PHC  ,"ALONG IJEBU-ODE ROAD, BESIDE CEMETRY, EPE.",COMPREHENSIVE
,90,,,ISALE AGORO,AFUYE  PHC ,"AJILOGBA ST, BESIDE OLUWO MARKET ,EPE.", 
,91,,,PAPA,PAPA PHC,"MISTURA RAHMON ST, PAPA, EPE", 
,92,,IKOSI EJIRIN LCDA,AGBOWA I,AGBOWA  PHC,"ALONG GENERAL HOSPITAL RD, AGBOWA",COMPREHENSIVE
,93,,,AGBOWA II,IKOSI BEACH PHC,"ALONG ADO / AGBOWA ROAD, ADO", 
,94,,,OWU/ OTTA,OTTA  IKOSI  PHC ,"OTTA TOWN,  OFF  EPE  – IKORODU  ROAD", 
,95,,,OWU/ OTTA,OWU PHC,"JAKANDE WAY,OWU", 
,96,,,OWU/ OTTA,ODO AYANDELU  PHC ,"ALONG AGBOWA ROAD, ODO AYANGELU", 
,97,,,KETU EJIRIN,EJINRIN  PHC ,"EJINRIN, OFF EPE-IKOR0DU ROAD", 
,98,,,AJEBO- ORUGBO,AJEBO PHC,"AJEBO TOWN , OLD IJEBU ODE ROAD", 
,99,,,AJEBO- ORUGBO,ORUGBO PHC,ALONG AJEBO/ORUGBO RD, 
,100,,,IFESOWAPO,ITOIKIN  PHC,"ALONG OLD IJEBU ODE ROAD, ITOIKIN,", 
,101,,,IFESOWAPO,IGBODU HP,"IGBODU TOWN, OFF EPE – ITOIKIN ROAD.", 
,102,,,SAGIDAN ,SAGIDAN PHC,"19, AGBOROODE ST, SAGIDAN", 
,103,,EREDO LCDA,ODOMOLA,ODOMOLA  PHC ,"4 IRAYE ROAD, ODOMOLA", 
,104,,,ILARA,IGBONLA PHC,"OPPOSITE IGBONLA MODEL COLLEGE ,IGBONLA.  ", 
,105,,,ILARA,ILARA  PHC  ,"ALONG IRAGUNSHIN RD, ILARA.", 
,106,,,ODORAGUNSHIN,EREDO  PHC  ,"EREDO LCDA SECRETARIAT,ALONG IJEBU –ODE ROAD EREDO.",COMPREHENSIVE
