Unnamed: 0,PLUS,PRO,_source_file
"Treatment at special government centres
(Facilitation)",Covered,Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
DIALYSIS,Covered up to 3 Sessions,Covered up to 5 Sessions,FLOUR MILLS UPDATED BENEFIT.xlsx
For Acute Kidney Diseases,,,FLOUR MILLS UPDATED BENEFIT.xlsx
MORTUARY SERVICES,"Covered up to N50,000","Covered up to N100,000",FLOUR MILLS UPDATED BENEFIT.xlsx
(for Principals only),,,FLOUR MILLS UPDATED BENEFIT.xlsx
,,,FLOUR MILLS UPDATED BENEFIT.xlsx
GROUP PERSONAL ACCIDENT COVER,"N100,000","N200,000",FLOUR MILLS UPDATED BENEFIT.xlsx
(for Principals only),,,FLOUR MILLS UPDATED BENEFIT.xlsx
MEDICAL CHECK ABROAD,Not Covered,Not Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
MEDICAL TREATMENT ABROAD (In,Not Covered,Not Covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"patient only, outside region of cover)",,,FLOUR MILLS UPDATED BENEFIT.xlsx
"SECOND MEDICAL OPINION (Local and
Abroad)",Covered (Local only),Covered (Local only),FLOUR MILLS UPDATED BENEFIT.xlsx
REGION OF COVER,Nigeria,Nigeria,FLOUR MILLS UPDATED BENEFIT.xlsx
,,,FLOUR MILLS UPDATED BENEFIT.xlsx
,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Other benefits on Management plan,,,FLOUR MILLS UPDATED BENEFIT.xlsx
Accommodation for parent whose infant is on admission,Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Psychiatric hospitalization,Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Reimbursement for delivery abroad,Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Family Planning,Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Congenital anomaly treatment ,Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
"Addition Immunization (above 6 - 17 years): Yellow Fever, Meningitis, Hepatitis B",Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
BABY WELLNESS PROGRAMME,Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Fertility Services (consultation & investigation only),Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Pharmacy Benefit Management,Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Vaccination at home (at selected cities),Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Travel Insurance on Principal,Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
Employee Assistance Programme (EAP),Not covered,Not covered,FLOUR MILLS UPDATED BENEFIT.xlsx
