CODE,STATE,TOWN,NAME,ADDRESS,PLAN
80028019.0,LAGOS,GBAGADA,GREENLEAF WELLNESS,"6, FOLA JINADU CRESCENT, GBAGADA PHASE 1",PRO & HIGHER
8000007.0,LAGOS,IKORODU,HERITAGE FITNESS AND WELLNESS CENTRE,"46 BEACH ROAD, OPPOSITE IKORODU GENERAL HOSPITAL",PRO & HIGHER
80028052.0,LAGOS,AJAH,I AM FIT GYM,"TOTAL- AJAH AJIWEH SERVICE STATION, ETI-OSA, LAGOS",MAX & HIGHER
80028052.0,LAGOS,MAGODO,I AM FIT GYM,"PLOT 6B ADEKUNLE BANJO AVE, MAGODO PHASE 2, LAGOS",MAX & HIGHER
80028084.0,LAGOS,IKEJA,IVORY HEALTH CLUB,"4 OGUNDANA STREET, OFF ALLEN AVENUE",MAX & HIGHER
80028140.0,LAGOS,OJODU-BERGER,JOHBL XCLUSIVE GYM,"23, ODOZI STREET, OPP. DANKARO ESTATE, OJODU BERGER, LAGOS",MAX & HIGHER
90128476.0,LAGOS,VICTORIA ISLAND,LOTUS FITNESS & HEALTH,"4A SIR SAMUEL MANUWA ST, VICTORIA ISLAND",MAX & HIGHER
80028068.0,LAGOS,ISOLO,LE LEIU DE LEILAS GYM,"44, OKEHO STREET, OFF IRE AKARI ESTATE ROAD, ISOLO, LAGOS",PRO & HIGHER
80028098.0,LAGOS,IKORODU,MAKIZI F5 GYM,"LEBEKS PLACE, 6A DIVINE AVENUE, WEIGHBRIDGE, OWODE ONIRIN, IKORODU, LAGOS STATE",PROMAX & HIGHER
80028040.0,LAGOS,ANTHONY-VILLAGE,MANNA & QUAILS GYM,"NO 53A, ADEDIRAN AJAO ESTATE, APOSTOLIC FAITH CHURCH",MAX & HIGHER
80028171.0,LAGOS,YABA,UMAK FITNESS AND WELLNESS,"3RD FLOOD, HERBERT MACAULEY WAY, YABA,LAGOS",PRO & HIGHER
80028139.0,LAGOS,FESTAC,PARIS FITNESS,"PARIS SUITES HOTEL, B CLOSE 421, FESTAC EXTENTION, FESTAC TOWN",PRO & HIGHER
8000008.0,LAGOS,IKEJA,PASLIM GYM,"2, JOEL OGUNNAIKE STREET, IKEJA GRA",ALL PLANS
80028080.0,LAGOS,LEKKI,PICADILLY FITNESS ,3 PICADILLY STREET AGUNGI BY IGBO EFUN ROUND ABOUT ,PROMAX & HIGHER
80028007.0,LAGOS,ALIMOSHO,PRESTIGE FITNESS & WELLNESS GYM,"83/85 ALIMOSHO ROAD, ALAGUNTAN BUS STOP, IPAJA RD, ALIMOSHO",ALL PLANS
80028057.0,LAGOS,OGUDU,PRIME GYM AND SPA RESOURCES,"48A OGUDU ROAD, LSDPC BUILDING OGUDU LAGOS",ALL PLANS
80028188.0,LAGOS,ILUPEJU,PRO FIT GYM AND YOGA CENTRE,"25B COKER ROAD, ILUPEJU LAGOS",ALL PLANS
80028121.0,LAGOS,LEKKI,PURE FITNESS,"PERCHSTONE & GRAEYS CLOSE OFF ADEKOLA BALOGUN, LEKKI PHASE 1, LAGOS MARWA BUS STOP LEKKI",MAGNUM
80028036.0,LAGOS,EGBEDA,RHINO FITNESS & BODYBUILDING,"69, ISIBA OLUWO STREET,UNITY ESTATE, EGBEDA,LAGOS",ALL PLANS
80028145.0,LAGOS,SURULERE,SLIM FIT U GYM,"85, OGUNLANA DRIVE, SURULERE LAGOS",MAX & HIGHER
80028038.0,LAGOS,MAGODO,THE SWEAT HUB GYM,"DSCIENCE ROAD, UNILAG ESTATE, MAGODO ISHERI",PRO & HIGHER
80028135.0,LAGOS,AKOKA -BARIGA,TSAA FITNESS,"CHEMIST BUS-STOP, BY TOTAL FILLING STATION, AKOKA, BARIGA",PRO & HIGHER
80028126.0,LAGOS,OGBA,VICTORS FITNESS,"INSIDE EXCELLENCE HOTEL, OGBA",MAX & HIGHER
80028091.0,LAGOS,LEKKI,VINTAGE BY NAOMIE SPA,"8B CHIEF COLLINS UCHIDIUNO STREET OFF FOLA OSIBO STREET OFFADMIRALTY WAY LEKKI PHASE 1, BUILDING WITHTHE GREEN TURF GRASS AFTER THE SPEED BUMP",ALL PLANS
80028086.0,LAGOS,SHOMOLU,WELLNESS BLISS HEALTH CLUB,NO. 174 IKORODU ROAD FCMB ONIPANU BRANCH,ALL PLANS
80028058.0,NASARAWA,MARARABA,9DEYSFITNESS CENTRE,5 IRIVBOGBE STREET KARU MARARABA,MAX & HIGHER
80028020.0,NASARAWA,KARU,ROYAL BLUE,"LEHA ROAD, NEW KARU",ALL PLANS
80028030.0,NIGER,MINNA,QUICK FITNESS GYM,"D21/D17 BAHAGO PLAZA, OPP TOTAL FILLING STATION, TUNGA, MINNA NIGER STATE",ALL PLANS
80028142.0,OGUN,OLOWOTEDO,LIFE GYM CENTRE,"5,OLOWOTEDO ROAD, LAGOS IBADAN EXP. WAY, OGUN STATE.",ALL PLANS
80028173.0,OGUN,ALAGBOLE/AJUWON,SKATON FITNESS GYM,"GRACE MALL, 44 ALAGBOLE ROAD, YAWOELE - AJUWON, BERGER.",PROMAX & HIGHER
80028159.0,OGUN,OTA,SUCCESS FITNESS AND GYM,"151, IGANMONDE ROAD, FAN MILK ROUNDABOUT, OTA",ALL PLANS
80028032.0,OGUN,MAGBORO,SAREX FITNESS CLINIC,"NO 1, DADA ADAMS, GASLINE B/STOP, MAGBORO",ALL PLANS
80028092.0,ONDO,AKURE,BODILY FITNESS BENEFIT GYM,"INSIDE SWAN INTERNATIONAL HOTEL, ITA ONIYAN, ADJ HORBIT BAKERY, AKURE",ALL PLANS
80028109.0,ONDO,AKURE,G4 FITNESS CENTRE,"HOUSE 19,SAM OLUKAYODE STREET ALAGBAKA AKURE",MAX & HIGHER
80028143.0,OYO,SAKI,DANCER GYM,"BESIDE MTN OFFICE, BANUSO, AJEGUNLE, SHAKI ROAD, SHAKI, OYO STATE",ALL PLANS
80028150.0,OYO,OLOGUNERU/GBOPA,DON POWER GYM,"GBOPA BUS-STOP, OLOGUNERU IBADAN",PLUS
80028165.0,OYO,IBADAN -BODIJA,HIC WELLNESS CLUB GYM,"8, ONDO STREET, OFF OSHUNTOKUN AVENUE,BODIJA",PRO & HIGHER
80028164.0,OYO,AKOBO,GYM HOUSE IBADAN,"33. ROAD 1, OFF GENERAL GAS, AKOBO, IBADAN",MAX & HIGHER
80028023.0,OYO,BODIJA,PRIME FITNESS,"4, OKUNOLA ABASS STREET, BODIJA, IBADAN",PRO & HIGHER
8000015.0,PLATEAU,NEW ABUJA,"FITNESS & HEALTH PRO, NEW ABUJA, JOS","MICHAEL PAM STREET, DADIN KOWA NEW ABUJA",ALL PLANS
8000015.0,PLATEAU,RAYFIELD,"FITNESS & HEALTH PRO, RAYFIELD, JOS","MILLENNIUM PLAZA, ALONG DA. JONAH DAVID JANG WAY, RAYFIELD",ALL PLANS
