Provider,claim_count,Amt Paid_total,Units Paid_total
Royal Eye Hospital Ltd                   ,10,16905.0,16910.0
YELLOWMED PHARMACY AND WELLMART APO ABUJA,9,33200.0,9.0
FOREMOST RADIOLOGY CONSULTANTS LIMITED,9,44070.0,9.0
ZOOM EXCLUSIVE ABUJA formerly ZOOM360 ABUJA,9,70000.0,12.0
VISION MEDIX EYECARE,9,36315.0,11.0
SUMMIT DENTAL CLINIC,9,166000.0,10.0
International Clinic,8,15426.5,39.0
Azriel Premier Hospital,8,65700.0,34.0
NETT PHARMACY OPEBI,8,5400.0,4855.0
VASTOVERS LTD GBAGADA,8,72400.26,298.0
PINKINETICS FITNESS STUDIO (WOMEN ONLY),8,32000.0,16.0
Peniel Eye Clinic And Surgery                              ,8,111500.0,24.0
FIRST MOBILE DENTAL CARE ,8,20000.0,20004.0
ZHAHIR HOSPITAL AND DIAGNOSTIC CENTER ABUJA,7,19400.0,55.0
Blue Shore Hospital Ltd,7,23661.65,12.0
Delnik Hospital,7,7920.0,61.0
Jethrone Hospitals and diagnostics,6,23075.5,28.0
Megasight eye clinic,6,66500.0,15.0
Thelish Eye Centre,6,131400.0,14.0
VISION 24 EYE CLINIC,6,51500.0,45.0
HJ EYE CLINIC AND OPTICAL SERVICES,6,61575.0,15.0
Giwa Hospital and Specialist Hospital,6,6557.65,6.0
ECO FITNESS HUB,6,24000.0,6.0
Eyemasters Limited,6,66840.0,107.0
BMH HOSPITAL,6,28205.0,32.0
BEACONHILL SMILE CLINIC- IKEJA,6,100000.0,7.0
AMAZING PHYSIOTHERAPY AND WELLNESS CENTER LTD,6,162000.0,14.0
Albarka Clinic,6,23320.0,44.0
Peve Dental Clinic Agege,5,45000.0,6.0
Zimah Eye Care Limited,5,23000.0,5.0
CHILDCARE AND WELLNESS CLINICS UTAKO,5,55400.0,8.0
Christ The King Hospital ,5,12535.8,27.0
Ola olu Hospital,5,15979.5,27.0
Niger Foundation Hospital,5,15488.0,91.0
MEDIREST HOSPITAL  (MEDIREST HEALTH CONSULTING NIGERIA LIMITED) ABUJA,5,13303.45,30.0
MEDIQUES PLUS BY MEADOWHALL,5,22513.65,6.0
Santa Antonio Med Centre,5,4326.5,45.0
ABUJA CLINICS NIGERIA LTD,4,0.0,2.0
BT HEALTH AND DIAGNOSTICS CENTER,4,22005.5,4.0
MALDOR EYECARE CENTER,4,23000.0,4.0
The Eye Shop Africa International Limited,4,8000.0,4.0
MARAFAM EYE CARE LTD,4,70000.0,13.0
First Opticians Eye Clinic ABUJA,4,55500.0,13.0
Kappa Dental Clinic,4,28000.0,6.0
FITNESS PLUS YABA,4,8000.0,4.0
Duro Soleye Hospitals                                       ,4,34890.0,17.0
Famacare Clinic,4,12000.0,4.0
KIM AND CREST DENTAL CLINIC AND MAXILLOFACIAL SURGERY LTD,4,44500.0,7.0
Florish Eye Care Ltd,4,55500.0,13.0
Garden City Specialist Hospital,4,3473.85,22.0
MOTHER AND CHILD HOSPITAL OMOLE,3,9700.0,3.0
Gloxygen dental care ltd,3,100000.0,8.0
Metro Eye Clinic Ikoyi,3,53000.0,12.0
OPTIKA EYE CLINIC,3,54000.0,12.0
PHARMACY BENEFIT PROGRAMME KANO,3,142500.0,11.0
MARIE STOPES MEDICAL CENTRE LEKKI,2,8000.0,2.0
Crestview Radiology VI (Referrals Only)                                     ,2,16500.0,2.0
Alheri Clinic,2,13000.0,2.0
Afriglobal Medicare Limited,2,27930.0,2.0
PHARMARUN PHARMACEUTICALS LIMITED   ,2,60500.0,2.0
Tent Of Life Specialist Clinic,2,15000.0,15001.0
UNIQUE PHYSIOTHERAPY CLINIC AND FITNESS LIMITED,2,105000.0,7.0
Alfol Cardiology clinic,1,25000.0,1.0
CEDAR CREST HOSPITALS LIMITED LAGOS,1,20000.0,1.0
GO FITNESS LIMITED,1,2500.0,1.0
E-CLINIC AND DIAGNOSTICS LIMITED ABA,1,2000.0,1.0
NEW HAVEN HOSPITAL AND DIALYSIS CENTRE,1,50000.0,1.0
SAFECARE CLINIX,1,25000.0,1.0
