Provider,claim_count,Amt Paid_total,Units Paid_total
Lad Medical Centre                                         ,19,54519.96,103.0
Kleinburg Medical Center,19,65987.0,62.0
EROM DIAGNOSTICS,19,84375.0,19.0
The Eye Specialist Hospital,19,270000.0,22.0
Truecare Model Hospital,19,33320.0,149.0
EHA Clinics Limited Kano,19,144394.27,58.0
SS Dental Clinic,19,341750.0,21.0
BEULAH EYE CARE SERVICES AND  CONSULTANTS,18,97470.0,18.0
Safeway Hospital And Maternity Ltd,18,45981.09,147.0
AE AIMA HOSPITAL LTD,18,69110.0,55.0
Pearlmine Eyecare Limited,18,292000.0,60.0
Reddington Multispecialist Hospital VI,18,277767.96,18.0
Dental And Maxillofacial Surgery,18,198000.0,52.0
Adetula Optical Services Nig. Ltd                           ,18,113000.0,29025.0
OLLYTON DENTAL CLINIC,18,268000.0,28.0
WELLPATH PHYSIOTHERAPIST AND WELLNESS IKOYI,17,59000.0,17.0
 SUSPENDED AMAZON EYE CLINIC LTD,17,228000.0,17.0
Metro Eye Clinic Ikoyi,17,414000.0,60.0
ONE HEALTH PHARMACY,17,91950.0,17.0
Locus Eye Clinic,17,338500.0,37.0
BlueCare Dental Clinic,17,158500.0,22.0
UR DENTAL CLINIC   ,17,952000.0,22.0
DREAM SPECIALIST HOSPITAL,17,800495.7,70.0
Danic Visions Eyecare,17,125000.0,17.0
Jomas dental clinic ,17,393000.0,33.0
PHARMARUN PHARMACEUTICALS LIMITED   ,16,126370.0,179.0
The Brookhaven Hosptial,16,49800.0,20.0
Parklande Specialist Hospital     ,16,24540.0,72.0
DOMINION OPTOMETRY CLINIC,16,439000.0,38.0
Cottage Medicare Hospital,16,35342.15,111.0
Glaze Dental & Breath clinic,16,215500.0,19.0
3J DENTAL CLINIC LIMITED,15,175000.0,23.0
AILEN EYE CENTRE,15,253655.0,53.0
HOSPITAL FOR TRAUMA AND SURGERY HTS,15,257220.0,77.0
HEPHZIBAH EYECARE LTD - IBADAN,15,260950.0,84.0
Grover Medicals Lifestyle Clinic,15,237150.3,154.0
Phoenix Eye Clinic,15,179680.0,17.0
Divine Dental Home VI,15,236500.0,26.0
COPTIC ORTHODOX CHURCH OF NIGERIA,15,166875.0,15.0
MEDICHECK HEALTH SCREENING SUITE,15,76350.0,15.0
Bethel Specialist Hospital,15,28050.0,37.0
Aminu Kano Teaching Hospital Kano,14,53098.41,24.0
Alphonso Hospital,14,50854.7,92.0
CEDAR CREST HOSPITALS LIMITED APO,14,116898.93,37.0
NEW HEIGHTS CONSULTANTS HOSPITAL,14,91182.6,121.0
BONA  DENTALS ,14,418000.0,22.0
WELLNESS HOSPITAL AND DIAGNOSTICS LIMITED,14,29703.6,40.0
EDJ Healthcare Diagnostics,14,111500.0,14.0
PRINZLY DENTAL SURGERY,14,27000.0,14.0
Garkuwa Spec. Hospital,14,27173.0,82.0
April Hospital,14,229770.0,67.0
CUTE HEALTHCARE LTD,13,9492.25,37.0
SMILE EVOLUTION DENTAL CARE,13,103000.0,13.0
Sightcity Eye Clinic Linited,13,377500.0,81.0
Taforehab Pelvic & Orthopedic wellness ,12,192500.0,12.0
Salem Vision Eyecare,12,155000.0,12.0
SYCAMORE PHARMACY,12,137600.0,14.0
PHOTIZO EYE CLINIC ELELENWO BRANCH,12,113635.0,104.0
CareDent Dental Clinic,12,293077.83,13.0
