Provider,claim_count,Amt Paid_total,Units Paid_total
LIFEGUARD HOSPITAL,168,254990.4,792.0
BOSUN CLINIC AND MATERNITY HOME,165,330642.5,448.0
REGIS AND REINA HOSPITAL LTD,164,369438.05,520.0
Krown Hospital,162,364780.0,14686.0
BARBINTON MEDICAL CENTRE,161,216603.12,0.0
Motayo Hospital                                             ,161,670339.24,512.0
Dental Plus Clinic VI,161,1321000.0,63.0
Sodipo Medical Centre Itori,160,570329.41,421.0
Shepherd Specialist Hospital Festac                     ,160,542150.78,761.0
Blossom Hospital & Maternity,160,534838.62,216.0
Peter and Grace Medical Centre,160,343005.28,905.0
Firstcare Multi Spec. Hospital,160,634801.2,588.0
BASE SPECIALIST HOSPITAL,159,597041.05,86.0
Veta Hospitals Ltd,158,284174.75,291.0
Ewekoro Hospital & Maternity Center,158,1375573.06,163.0
Sefa Specialist Hospital                                    ,157,135351.2,1289.0
OLU-OLA SPECIALIST HOSPITAL,157,378573.0,1035.0
465 Nigerian Air Force (NAF) Hospital KANO,156,326011.5,1058.0
Victory Life Specialist Hospital,155,236529.71,0.0
Aminu Kano Teaching Hospital Kano,154,714068.4585,823.0
VICTORIA MEMORIAL CLINIC AND MATERNITY,153,124536.2,358.0
Abbys paediatric hospital,152,519350.0,260.0
R-Jolad Hospital Gbagada,152,940141.83,627.0
Deo-New Day Integrated Medical Services Akure,151,806146.01,977.0
Standard Hospital & Diagnostic Services,150,694979.3,993.0
BONNE SANTE HOSPITAL,149,172935.68,428.0
ADURAKING HOSPITAL ,148,423765.97,519.0
SURE HOPE HOSPITAL,148,322477.25,0.0
LIFESHADE HOSPITAL,147,374923.5,215.0
Metro Eyes Nig. Ltd -Abeokuta,145,716900.0,109.0
GLAD TIDINGS MEDICAL CENTRE,145,436023.7,622.0
CALABAR WOMEN AND CHILDREN HOSPITAL,145,244074.55,810.0
Bee Hess Hospital,145,273123.65,908.0
Lade Hospital,140,296574.9,0.0
Teju Specialist Hospital,139,302162.13,14191.25
Unique Consulting Hospital Ado Ekiti,137,328871.78,649.0
PERFECT TRINITY HOSPITAL,136,268870.77999999997,1454.0
Funbi Medical Centre,135,310505.3,151.0
IRE-ANU HOSPITALS,133,116614.5,0.0
OWOLOLA BETHEL HOSPITAL,133,340130.95,242.0
Ashmed Specialist Hospital Limited,133,368269.89,788.0
Healing Touch Hospital,132,365152.8,743.0
ST LOUIS MEDICAL CENTRE,132,267110.6,541.0
LIGHT HOSPITAL AND MATERNITY HOME LTD,131,629818.7,104.0
Raziela Specialist Clinic,129,686913.85,1196.0
Choice Opticals And Surgical Services Ltd - Ikeja,129,1015500.0,154.0
SASCO HOSPITAL LIFE FIRST,129,701794.0,436.0
The Real Cure Hospital,128,287646.45,233.0
MAJOROH MEDICAL CENTRE,127,306849.9,417.0
KATIS MEDICAL CENTRE,126,136551.45,0.0
Blooming Care Hospital,126,185244.64,541.0
Mega Vision Ltd                                             ,124,626705.5,91.0
CEDARS DENTAL AND EYE CENTRE LTD,123,383165.0,286.0
Osuntuyi Medical Centre Obanikoro,121,274673.6,763.0
Icon Clinic & Maternity,121,204506.14,1197.0
Kejide Spec. Hospital,121,169775.13,694.0
Brentwood Medical Centre,119,381164.35,156.0
Ola Oki Medical Center,118,191453.85,427.0
Doren Specialist Hospital                                   ,118,430522.0,350.0
DORCAS HOSPITAL NIGERIA LIMITED,118,331203.22,531.0
ST MICHAELS HOSPITAL AKURE,117,243491.82,0.0
Sentinel Hospital,117,132640.55,575.0
Marysol Specialist Hospital,117,314565.68,578.0
SKYHIGH MEDICAL CENTRE,117,398038.88,484.0
Ericoncare Hospital,116,54470.5,831.0
St Catherines Specialist Hospital PORT HARCOURT                          ,115,427306.45,428.0
First Alpha Medical Centre                                 ,115,424496.42,398.0
DEE MEDICAL CENTRE,113,397354.24,594.0
New Funtua Clinic,112,200557.0,507.0
ST IVES SPECIALIST HOSPITAL FESTAC,110,532525.37,461.0
MICEL HOSPITAL,109,651550.5,657.0
Alpha Clinic,109,162257.9555,416.0
Dako Medical Centre,109,169727.05,602.0
Rivet Specialist Hospital,109,583693.58,838.0
Med-In Specialist Hospital                                  ,108,279560.67,448.0
Advantage Health Africa,106,487240.0,9864.0
CEDAR CREST HOSPITALS LIMITED APO,106,697585.99,495.0
Gods Apple City Hospital Ojodu,105,367605.73,0.0
FITPLUS HEALTHCARE LIMITED,104,607400.0,27.0
Kanayo Specialist Hospital                                  ,104,245225.0,543.0
Tender link clinic and maternity,102,1163816.45,469.0
JESUS IS LOVE AND POWER HOSPITAL,101,310924.11,0.0
LOTTO CENTRAL HOSPITAL,101,207260.81,0.0
Forst Eye Clinic Ogba                                            ,101,555545.0,62.0
Bluelime Hospital & Maternity,101,244449.55,139.0
Truecare Model Hospital,100,231355.0,192.0
KAAF Medical Laboratory and Maternity Center,100,2249015.5,160.0
Samaria Hospital Limited,100,231631.46,350.0
Lily Hospital BENIN,100,285951.23,709.0
Sandra Hospital,100,357135.76,495.0
DANS HOSPITAL IKORODU,98,242445.05,52667.0
JADELE HOSPITAL LAGOS,97,253074.0,250.0
FEDERAL MEDICAL CENTRE BIDA,96,438459.92,160.0
LAGOON HOSPITAL - IKOYI REFERRALS ONLY,96,686747.9400000001,618.0
ROYAL SPECIALIST HOSPITAL SURULERE,96,289797.55,1.0
NSIA KANO DIAGNOSTIC CENTRE,95,955622.0,84.0
