Provider,claim_count,Amt Paid_total,Units Paid_total
Mega Vision Ltd                                             ,34,240667.5,34
REM YEMS HOSPITAL LTD,33,54917.99,359
First Mercy Specialist Hospital                             ,33,58780.0,149
Afriglobal Medicare Limited,33,235775.0,33
TRUCARE MEDICAL CENTRE JOS,32,234516.0,71
Kingtrust Medical Center,32,136853.29,107
Synlab Nigeria Limited,31,481670.0,31
Christ The King Hospital ,31,65097.3,194
St Martins Hospital,30,433293.5,65
SIRONA HOSPITAL LTD.,30,78376.25,238
Evanson Medical Centre,30,88913.20999999999,184
Bethel Specialist Hospital,29,47280.0,145
Ibidave Dental Clinic,29,329993.0,173
STARCARE HOSPITAL,29,168997.5,64
MEDIQUES PLUS BY MEADOWHALL,29,126384.5,88
DASOCHRIS HOSPITAL,29,30561.0,199
Hopehill Specialist Medical Centre,29,0.0,124
Michael Cross Specialist Hospital,29,127115.8,258
Next Generation Eyecare Ltd,29,323535.0,74
Pinecrest Specialist Hospital Lagos,28,30336.0,114
C & C Opticians Limited                                     ,28,325700.0,37
Obioma Hospital                                            ,28,43015.2,221
Roa Specialist Hospital,27,320153.0,58
Marien Hospital,27,147600.0,105
Metro Eyes Nig. Ltd -Abeokuta,27,202400.0,34
BLUE GLOVES HOSPITAL,27,134506.5,69
ERADOK HEALTHCARE,27,426482.5,116
Subol Hospital                                              ,27,884174.5,115
PHARMACY BENEFIT PROGRAMME IBADAN,26,341430.0,618
NEDEKE PAEDIATRICS LIMITED,26,160846.95,53
Choice Opticals And Surgical Services Ltd - Ikeja,26,272500.0,40
Med-In Specialist Hospital                                  ,26,76467.63,90
Agape Medical Centre Lagos,26,22565.0,258
KAUNA SPECIALIST HOSPITAL,26,116185.5,117
OXFORD HEALTHPLUS HOSPITAL,25,169630.21,73
Westcare Hospital Ejigbo,25,167420.5,95
Bowen Teaching Hospital,25,183444.76,563
Blue Cross Hospital                                         ,25,67230.05,164
Goodness Medical Centre Lagos,25,58710.770000000004,95
GRACEVID HOSPITAL,25,65857.5,89
St Shiloh Medical Centre,25,49254.5,114
